Country,Continent,Rank,Title,Artists,Album,Explicit,Duration,Democracy_Index,Lyrics
Estonia,Europe,43,Life Is Good (feat. Drake),"Future, Drake",High Off Life,1,3:57,0.718,
Estonia,Europe,44,everything i wanted,Billie Eilish,everything i wanted,0,4:05,0.718,
Estonia,Europe,45,Intentions (feat. Quavo),"Justin Bieber, Quavo",Changes,0,3:32,0.718,
Estonia,Europe,46,goosebumps,Travis Scott,Birds In The Trap Sing McKnight,1,4:03,0.718,
Estonia,Europe,47,Ma Kuulsin Seda Läbi Viinamarjaväädi,Reket,Kulutuli,0,3:08,0.718,"Ref
Kuula kuula kuula kuidas voolab
Jõgi sinu silme ees ta hooga
Üle elu üle kõige mida hoomad
Tal tee on ees
Kuula kuula kuula kuidas voolab
Jõgi läbi elu sama hooga
Kas jooksed kõnnid istud magad roomad
Tal hoog on sees

Rakkus käed on tõusva päikse kiirgav kera taamal
Aastaid ehitanud olen randa liivaterahaaval
Aastaid jäänud seda finišit ma veel ei näegi
Raske maha müüa mõtet neile kes seda keelt ei räägi
A keda läbi Läti Henriku ma ikka toitsin
Nähes kuidas eestlastele meeldib süüa pikka poissi
Sõltumata soost ja nimest teadsin ette et sa kired
A nagu öeldakse
Kui sa hunte kardad ära metsa mine

Ref (1x)

Ma tõesti arvasin et pangakontol nullid loevad
Suur maja mere ääres kiired autod hundikoerad
Öö läbi ametis sest raha ei maga
A ses vundamendis on mõrad
Su maja Baba-Jaga
Kas muinasjutust saab elu otsekui võluväel?
Kas keegi nähtamatut raskust üldse mu õlul näeb?
Kas keegi sulatab jää?
Kas keegi ulatab käe
Kui istud üksi kukkur pihus
Nagu turakas käes?
Ma küsin aa

Ref (2x)"
Estonia,Europe,48,Ride It,Regard,Ride It,0,2:37,0.718,
Estonia,Europe,49,Say So (feat. Nicki Minaj),"Doja Cat, Nicki Minaj",Say So (feat. Nicki Minaj),1,3:26,0.718,
Estonia,Europe,50,HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM,1,2:55,0.718,
Finland,Europe,1,Tässäkö tää oli? (feat. Leavings-Orkesteri),"Arttu Wiskari, Leavings-Orkesteri",Tässäkö tää oli? (feat. Leavings-Orkesteri),0,3:42,0.808,"Pikavipillä saatiin lomasetti
Kohteena Visulahden vahakabinetti
Vuokrasin halvimman matkailuauton
Meille hyvä, toisille mauton
Vaimo ristikoita vieressä täyttää
Yritän opetella kytkintä käyttään
Lapset arvuuttelee mihinkä me mennään
Rankkasateessa eteeni mä en nää mitään

Tässäkö tää oli?
Levii Nelostielle lasten Monopoly
Jää juomatta se kylmä alkoholi-
Ton olut joita Soliferin jääkaappiin ostin kuus
Tässäkö tää oli?
Valuu asfaltille autosta glykoli
Vaikenee radiossa nuorisoidoli
Ja nyt meitä ympäröi tää totaalinen hiljaisuus

Lapset ansaitsee näitä yllätyksii
Oon heille tuottanut liikaa pettymyksii
Meidän koulut ja duunit meni pieleen
Kinkuton joulu on jäänyt mulle mieleen
Soliferi nousi tiellä vesiliirtoon
Alle sekunti miettii omaa siirtoo
Renkaat linkussa, vauhtia se satanen
En tiiä olisko selvinnyt ees Vatanen

Tässäkö tää oli?
Levii Nelostielle lasten Monopoly
Jää juomatta se kylmä alkoholi-
Ton olut joita Soliferin jääkaappiin ostin kuus
Tässäkö tää oli?
Valuu asfaltille autosta glykoli
Vaikenee radiossa nuorisoidoli
Ja nyt meitä ympäröi tää totaalinen hiljaisuus

Tästä alkaa loma
Ja vaikka kuukauden mä olen vuoteen oma
Ei se haittaa vaik on kipsattuna ranne
Näen Iltalehden kannen
Iskä teki meistä julkkiksii


Tässäkö tää oli?
Levii Nelostielle lasten monopoly
Jää juomatta se kylmä alkoholi-
Ton olut joita Soliferin jääkaappiin ostin kuus
Tässäkö tää oli?
Valuu asfaltille autosta glykoli
Vaikenee radiossa nuorisoidoli
Ja nyt meitä ympäröi tää totaalinen hiljaisuus"
Finland,Europe,2,Blinding Lights,The Weeknd,After Hours,0,3:20,0.808,
Finland,Europe,3,Penelope (feat. Clever),"william, Clever",Penelope (feat. Clever),0,3:03,0.808,"Ai-Ai-Ai-Aitio got that smoke
Yeah, yeah-yeah
Na-na-na, na-na
Yeah, yeah

Mun striimit on nousus, oon korkeel niiku lentokone (Yeah)
Mun hookit ku huumeet, oot koukus ja ne menee nopee (Menee nopee)
Träppäsin mimmis, se on loukus, sen nimi Penelope (Sen nimi Penelope)
Tein just millii mul Diori housut (Penelope), en tarvii lovee
Tarviin su lovee, en tarvii paskaakaa
Kultaa, ei hopee, tää ei oo raskasta (Yeah, yeah)
Sulit nii nopee, ei sust oo vastusta
Sulit nii nopee, ei sust oo vastusta (Yeah, yeah)

Tiiän et otat must mallii, voit sanoo esikuvaks
Sun mimmis ei malli, mut koet mut silti uhaks
Tää laukku on kallis, siks mun sticki on mukan
Ja jos mun jäbät sallii, voit ehkä ottaa kuvan
Muista ol varovaine, meit riivaa viel paholaine
Jos kysees päihdeaine, nii Aitio vetää kaike
Ja jos sust tuntuu silt, et sul on tehty väärin
Nii turha itkee mulle, emmä tunne säälii (Yeah, yeah)

Mun striimit on nousus, oon korkeel niiku lentokone (Yeah)
Mun hookit ku huumeet, oot koukus ja ne menee nopee (Menee nopee)
Träppäsin mimmis, se on loukus, sen nimi Penelope (Sen nimi Penelope)
Tein just millii mul Diori housut (Penelope), en tarvii lovee
Tarviin su lovee, en tarvii paskaakaa
Kultaa, ei hopee, tää ei oo raskasta (Yeah, yeah)
Sulit nii nopee, ei sust oo vastusta
Sulit nii nopee, ei sust oo vastusta (Yeah)

Drippin' like a candle, drippin' like a coffee pot
I'm flyin' off the handle, they might have to lock me up
If you think that you can lock her down (Down)
I fly her out to New York, to London, or some other proper noun
You can't take my woman, I can't take my eyes off her
I'm not the one she'll ever set aside (Set aside)
The love we share you can't compare, you're never satisfied
I'm aimin' at your head, two bullets at your head if you ever try

Mun striimit on nousus, oon korkeel niiku lentokone (Yeah)
Mun hookit ku huumeet, oot koukus ja ne menee nopee (Menee nopee)
Träppäsin mimmis, se on loukus, sen nimi Penelope (Sen nimi Penelope)
Tein just millii mul Diori housut (Penelope), en tarvii lovee
Tarviin su lovee, en tarvii paskaakaa
Kultaa, ei hopee, tää ei oo raskasta
Sulit nii nopee, ei sust oo vastusta
Sulit nii nopee, ei sust oo vastusta

Ei sust oo vastusta
Yeah, yeah
Ei sust oo vastusta
Na-na-na, na-na
Ei sust oo vastusta
Yeah, yeah, yeah"
Finland,Europe,4,GOOBA,6ix9ine,GOOBA,1,2:12,0.808,
Finland,Europe,5,Christian Rapper,Devo,Christian Rapper,0,2:32,0.808,"Brother Anthony, haha! You know we miss you at church!

I miss y'all too, Brother Derrick. You ready to get it in?

Yes, sir. Oh, and Brother Anthony, thank you so much for letting the Lord use you so I can occupy your space and your studio and spread the word of God. God bless you, Brother. Thank you so much!

No problem, Brother Derrick. Finally, somebody normal

I love motherfucking Jesus and I put that on my life
If you not talking offering then it better be about Christ
Imma be in church until I'm riding in a hearse
I even pray for my opps before I put 'em in the dirt
Imma save his soul before I send 'em to they gates
He gon' get right with God before I seal his fucking fate
I kill for my Lord, I'm a rider for my savior
Before she eat this dick up I make her say a prayer
I pray for these bitches, I pray for these niggas
Before I spin the block I ask God to bless my trigger
God ain't no bitch, God ain't no hoe
Keep playing with God, he gon' put you in da floor
I love my motherfucking Lord, nigga
I love motherfucking Jesus, nigga
Yahweh, nigga
Yahweh, nigga
Go to church, bitch! Go to church!
Go to church, bitch! Go to church!"
Finland,Europe,6,Believe Me - Remastered,"Devo, Janni",Believe Me (Remastered),1,3:02,0.808,
Finland,Europe,7,Yhtenä sunnuntaina,Erin,Yhtenä sunnuntaina,0,3:39,0.808,"Tää ois ollu hyvä näin
Mut mentiiks me nyt ihastuu
Ei olla ihan selvinpäin
Päässä jonkun pahvikruunut
Nyt kantsis lähtee menee
Tää ois ollu ihan kiva näin
Hymyilyttää kun sä tuut
Mut kaverit ei tunne näin
Tät seinää vasten sut haluun

Nyt kantsis lähtee menee
Kun me ei olla niit jotka omistaa useempii puhelimii
Mut nyt ei oo voimii saada näit sydämii sammuksiin

Hypätään reunalta suoraan veteen
Ja tehdään niin kuin ihmiset tekee
Revi mun vaatteet ja huuda mun nimee
Ja muistellaan aina sitä yhtä sunnuntaita
Ja muistellaan aina sitä yhtä sunnuntaita

Tää ois tosi ihan kiva näin
Ei mennä mitään rakastuu
Yhelle mä tähän jäin
Mut kello on hei puoli kuus

Nyt kantsis lähtee menee
Kun me ei olla niit jotka kirjautuu hotelliin, eikös niin?
Mut nyt ei oo voimii saada näit sydämii sammuksiin

Hypätään reunalta suoraan veteen
Ja tehdään niinku ihmiset tekee
Revi mun vaatteet ja huuda mun nimee
Ja päästetään huomenna toisemme menee
Hypätään reunalta suoraan veteen
Ja tehdään niinku ihmiset tekee
Revi mun vaatteet ja huuda mun nimee
Ja muistellaan aina sitä yhtä sunnuntaita
Ja muistellaan aina sitä yhtä sunnuntaita

Ja muistellaan aina sitä yhtä sunnuntaita
Ja muistellaan aina sitä yhtä sunnuntaita"
Finland,Europe,8,"Liian vähän, liian myöhään",Evelina,"Liian vähän, liian myöhään",0,3:15,0.808,"Tuntuu et mä oon itsestäänselvää
Puuttuu jotain, joo, et pelkää menettää
Ei sä et puhu musta kellekään
Tuut kun silt tuntuu

Anna mun istuu sun sylis, vaik tiiän sen hyvin
Et kaikki tulee loppuu
Mitään sanomatta, joo, sen sä osaat jo
Siihen en aio tottuu

Sen mitä oisin halunnu on ne
Sanat mitä et sanonu ye-yeah
Voispa vähempi riittää
Silti tää on liian vähän, liian myöhään
Sen mitä oisin tarvinnu on ne
Sanat mitä et sanonu beibe
En pysty siihen enää
Koska tää on liian vähän, liian myöhään

Luulin et mä oon löytäny taivaan
Ääneen et sano, et kerran voit kaipaa
En aio anoo et annat sun aikaa, haluun paloo

Anna mun istuu sun sylis, vaik tiiän sen hyvin
Et kaikki tulee loppuu
Mitään sanomatta, joo, sen sä osaat jo
Siihen en aio tottuu

Sen mitä oisin halunnu on ne
Sanat mitä et sanonu ye-yeah
Voispa vähempi riittää
Silti tää on liian vähän, liian myöhään
Sen mitä oisin tarvinnu on ne (on ne, on ne)
Sanat mitä et sanonu beibe, mitä et sanonu, yeah
En pysty siihen enää
Koska tää on liian vähän, liian myöhään
Ay ay ay ay
Ay ay ay ay

En tullu kerjäämään, tiiän mitä tuon pöytään
Siks ei pelota yksin syödä
Must ei oo venaamaan, kun sä tuut sen tajuumaan
Silloin on jo liian myöhää

Sen mitä oisin halunnu on ne
Sen mitä oisin halunnu on ne
Sanat mitä et sanonu ye-yeah, mitä et sanonu, yeah
Voispa vähempi riittää
Silti tää on liian vähän, liian myöhään
Sen mitä oisin tarvinnu on ne
Sanat mitä et sanonu beibe sano, sano, sano beibe
En pysty siihen enää
Koska tää on liian vähän, liian myöhään

Sen mitä oisin halunnu on ne
Sanat mitä et sanonu ye-yeah
Sen mitä oisin tarvinnu on ne
Sanat mitä et sanonu ye-yeah"
Finland,Europe,9,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01,0.808,
Finland,Europe,10,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02,0.808,
Finland,Europe,11,100%,"Keko Salata, BESS, Sexmane",100%,0,3:23,0.808,"Tuu, tuu, tuu mun viereen
Ja nää mut tämmöisenä kun mä oon
Vaikken aina oo sun mieleen

Voidaanko laittaa loppu välinpitämättömyydelle
Ettei käy niinku muumisadussa kävi sille lapselle
Kato mua silmiin ja rakasta täysii
Ei tarvi tehä mitään kummempaa, olla siinä vaan
Mä vihasin sitä maskii ja kohta taas hukka perii
Jos digaat vaan puoliks mua, pliis älä tee niin

Niinkun siinä sadussa, mä haihdun ilmaan savuna
Jossei sulta sataprossaa rakkautta tuu
Niinkun siinä sadussa, mä katoon tältä kartalta
Jossei sulta sataprossaa rakkautta...

Tuu, tuu, tuu mun viereen
Ja nää mut tämmöisenä kun mä oon
Vaikken aina oo sun mieleen
Tuu, tuu, tuu mun viereen
Ja nää mut tämmöisenä kun mä oon
Vaikken aina oo sun mieleen

No voihan hemmetti
Nyt mä nään mun käsistä jo läpi
Pesuveteen liukenen
Tee jotain, pysäytä tää metamorfoosi (Oikeesti)
No miten ois
Mut sä kumitat mut pois
Ei auta antidoottiuute
Kun diagnoosi ymmärryksen puute
Ja en mä haluu takas lähtöruutuun
Mä tapetiksi muutun
Koht on jäljel vaan ääriviivat
Ja ei kanna jalat

Niinkun siinä sadussa, mä haihdun ilmaan savuna
Jossei sulta sataprossaa rakkautta tuu
Niinkun siinä sadussa, mä katoon tältä kartalta
Jossei sulta sataprossaa rakkautta...

Tuu, tuu, tuu mun viereen
Ja nää mut tämmöisenä kun mä oon
Vaikken aina oo sun mieleen
Tuu, tuu, tuu mun viereen
Ja nää mut tämmöisenä kun mä oon
Vaikken aina oo sun mieleen

Sovitaanks nii
En jaksa enää sotii
En jaksa enää sopii
Sovitaanks nii
Annetaan sataprossaa
Viedään voitto kotii
Skidinä se oli kaikki kaikes et kiinnitty huomion senee
Itkupotkuraivarit huomion etee
En mä haluu olla näkymätön
Mut sen päätöksen suosio tekee

Jossei sulta sataprossaa rakkautta tuu
Sit mä en enää tunnista itteeni
Tai mulle käy jotain"
Finland,Europe,12,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56,0.808,
Finland,Europe,13,Tivolit,BEHM,Tivolit,0,3:31,0.808,"Hei älä herätä, pidä mua niin
Kuin et ikinä, ikinä, ikinä päästäisi irti
Kysyt jos meillekin käykin vai niin
Että pudotaan vauhdista niin pidänkö kiinni silti

Jos etsivä löytäis, me oltais jo siellä
Missä muut ei voi perään huutaa
En haluis myöntää, etten mä tiedä
Et ollaanko me oikeella tiellä

Mä haluisin sut niin sinne viedä
Missä tivolit ei vaihda paikkaa
Ei epävarmuus ois meidän tiellä
Siellä tivolit ei vaihda paikkaa

Mä oon jo ovella, puoliksi pois
Mut mä pysähdyn, pysähdyn, pysähdyn vielä sun eteen
Katseella luvataan vahvistaa se
Viiva joka ollaan yhdessä piirretty veteen

Jos etsivä löytäis, me oltais jo siellä
Missä muut ei voi perään huutaa
En haluis myöntää, etten mä tiedä
Et ollaanko me oikeella tiellä

Mä haluisin sut niin sinne viedä
Missä tivolit ei vaihda paikkaa
Ei epävarmuus ois meidän tiellä
Siellä tivolit ei vaihda paikkaa

Mä avaisin mun silmät, sanoisin
Et mä en tiedä mitään kauniimpaa
Kuin sun sanat aamuisin
Mä niillä eläisin taas hetken
Jos sut saisin mulle puhumaan

Mä halusin sut niin sinne viedä
Missä tivolit ei vaihda paikkaa
Ei epävarmuus ois meidän tiellä
Siellä tivolit ei vaihda paikkaa
Ei epävarmuus ois meidän tiellä
Missä tivolit ei vaihda paikkaa"
Finland,Europe,14,100,Kube,100,0,2:47,0.808,"(Ah, ah, ah, ah)
Kaikkee muut ku sitä tavallist
Haluun kämpän kuust, kiesin Japanist
Valmiin wörkkii, rullaan edestakasin
Tarviin plugin joka kyläs, tarviin sata niit
Tarviin biitin mikä släppää niinku avari
Nii et beissi potkii ku saatanan karate kid
Aion hommata sen truenon sielt Japanist
Mut sitä ennen tarviin hiacen wagonin
Siihen pakkaan mun gängin, koukkaan kautta sen träpin
Haslaan matkaan sen säkin
Iha sama mihin meen sinne pakkaan sen bägin
Käyn tappaa sit häviin, nappaan matkaan sen bägin
Ghost

Kaikkee muut ku sitä tavallist
Haluun kämpän kuust, kiesin Japanist
Valmiin wörkkii rullaan edestakasin
Tarviin plugin joka kyläs, tarviin sata niit
Tarviin kaikkee muut ku sitä tavallist
Haluun kämpän kuust, kiesin Japanist
Valmiin wörkkii rullaan edestakasin
Tarviin plugin joka kyläs, tarviin sata niit

(Ah)
Geimi kuristusottees, jos en hellitä sen tapan
Beef on buli niinku sumo ja tarviin lavalle tatamin
En oo lit mä oon napalmi, hommasin dripit Japanist
Haluun sen whipin Japanist, ajan sil niinku arabi
Damn mä oon nii fucking high, tarviin damin lait
Mami sä oot nii fine, sä oot mun type
Sucki sucki aight
Teet mun maanantaist lauantain, oon enemmän ku aight B
Valmiin ballaa niinku Jordani koskaan menetä haippii

Tyyli kaikkee muut ku sitä tavallist
Flow kalashnikov ra-ta-ta-ta click, varaclip
Ra-ta-ta kaikki palasiks
Sit takas himaa laskee niit satasii

Kaikkee muut ku sitä tavallist
Haluun kämpän kuust, kiesin Japanist
Valmiin wörkkii rullaan edestakasin
Tarviin plugin joka kyläs, tarviin sata niit
Tarviin kaikkee muut ku sitä tavallist
Haluun kämpän kuust, kiesin Japanist
Valmiin wörkkii rullaan edestakasin
Tarviin plugin joka kyläs, tarviin sata niit"
Finland,Europe,15,Boss Bitch,Doja Cat,Boss Bitch,0,2:14,0.808,
Finland,Europe,16,Epäröimättä hetkeekään,"Elastinen, Jenni Vartiainen",Epäröimättä hetkeekään,0,3:20,0.808,"Haluun vaan, et sä tiedät
Mä heittäsin tän kaiken menemään
Epäröimättä hetkeekään
Synkimpänä yönä
Sun käsiin luottasin mun elämän
Epäröimättä hetkeekään

Yeah, palatseissa vietin yksin öitä
Se kaikki oli merkityksetöntä
Vasta kun sain jonkun kenen kaa sen voisi jakaa
Löysin mun onneni sun onnesi takaa
Voit luottaa siihen, ei oo mua, on vaan me
Ja vaik kaikki mul menis, susta luovu mä en
Paha maailma ei maha meille ku mennää yhessä
Oon aina sun, myös tuulten kääntyessä

Ne illat, kun ootat mua
Ne yöt jotka valvot
Kun sanot, että pärjäät
Haluun vaan, et sä tiedät
Mä heittäsin tän kaiken menemään
Epäröimättä hetkeekään (Yeah)
Synkimpänä yönä
Sun käsiin luottasin mun elämän
Epäröimättä hetkeekään

Sä oot
Kaikki mitä mul on
Kaikki mitä jää
Kun kaikki turha riisutaan
Haluun vaan, et sä tiedät
Mä heittäsin tän kaiken menemään
Epäröimättä hetkeekään

Yeah, täs on mun elämä, jos tahot, nii saat sen
Tilanteen tullen en kattoisi taakse
Korkeimmalt huipulta syvimpään monttuun
Jaan mun matkaani sun kaa, nii se helpottuu
Kylmiä puitteita, kiiltävää pintaa
Sille mitä meil on ei oo riittävää hintaa
Ja vasta sä selvensit sen mulle
Oikee arvos on siinä, mitä merkitset muille

Ne illat kun ootat mua
Ne yöt jotka valvot
Kun sanot, että pärjäät
Haluun vaan, et sä tiedät
Mä heittäsin tän kaiken menemään
Epäröimättä hetkeekään
Synkimpänä yönä
Sun käsiin luottasin mun elämän
Epäröimättä hetkeekään

Sä oot
Kaikki mitä mul on
Kaikki mitä jää
Kun kaikki turha riisutaan
Haluun vaan, et sä tiedät
Mä heittäsin tän kaiken menemään
Epäröimättä hetkeekään

Haluun vaan, et sä tiedät
Mä heittäsin tän kaiken menemään
Epäröimättä hetkeekään"
Finland,Europe,17,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,1,2:45,0.808,
Finland,Europe,18,Breaking Me,"Topic, A7S",Breaking Me,0,2:46,0.808,
Finland,Europe,19,Kings & Queens,Ava Max,Kings & Queens,0,2:42,0.808,
Finland,Europe,20,Hei rakas,BEHM,Hei rakas,0,3:31,0.808,"Mistä alkaisin, jos susta kertoisin?
Joku toinen kertois kai kauniimmin
Mut joka askel, jonka otat poispäin musta
On kuin kehostaan ois irti, mieli huutaa silti
Voiko tunne tää elää meitä pidempään?
Mut eihän siihen kukaan anna vastausta

Hei rakas kerro mulle
Mikä on tää tunne
Kun ei tunnu jaloissani maa
Voisin tehdä laulun kauniin
Tai kodistani valmiin
Mut ilman sua, ne ois seiniä vaan
Hei rakas kerro mulle
Mikä on tää tunne
Kun ei riitä Linnunratakaan
Voisin tehdä kodin kauniin
Tai laulustani valmiin
Mut ilman sua, ne ois sointuja vaan

Jos nähdään samaa unta, niin onko se ees unta?
Jos samaan aikaan samat sanat sanotaan
Niin puhutaanko silloin siitä kohtalosta?
Jota kyynisesti mietin, mut tavallaan mä tiesin
Että maailman kaunein päivä on se kun
Sä jostain pohjan alta pois mut nostat

Hei rakas kerro mulle
Mikä on tää tunne
Kun ei tunnu jaloissani maa
Voisin tehdä laulun kauniin
Tai kodistani valmiin
Mut ilman sua, ne ois seiniä vaan
Hei rakas kerro mulle
Mikä on tää tunne
Kun ei riitä Linnunratakaan
Voisin tehdä kodin kauniin
Tai laulustani valmiin
Mut ilman sua, ne ois sointuja vaan


Hei rakas kerro mulle
Mikä on tää tunne
Kun ei riitä Linnunratakaan
Voisin tehdä kodin kauniin
Tai laulustani valmiin
Mut ilman sua ne ois sointuja vaan"
Finland,Europe,21,Thank You [Not So Bad],"VIZE, Felix Jaehn",Thank You [Not So Bad],0,3:17,0.808,"My tea's gone cold, I'm wondering why I
Got out of bed at all
The morning rain clouds up my window
And I can't see at all
Even if I could, it'll all be grey
Put your picture on my wall
It reminds me that it's not so bad
It's not so bad

My tea's gone cold, I'm wondering why I
Got out of bed at all
The morning rain clouds up my window
And I can't see at all
Even if I could, it'll all be grey
Put your picture on my wall
It reminds me that it's not so bad
It's not so bad

Not so bad, not so bad
Not so bad, not so bad
Not so bad, not so bad
Not so bad, not so bad
Bad, bad, bad, bad
Bad, bad, bad, bad
Not so bad

My tea's gone cold, I'm wondering why I
Got out of bed at all
The morning rain clouds up my window
And I can't see at all
Even if I could, it'll all be grey
Put your picture on my wall
It reminds me that it's not so bad
It's not so bad
My tea's gone cold, I'm wondering why I
Got out of bed at all
The morning rain clouds up my window
And I can't see at all
Even if I could, it'll all be grey
Put your picture on my wall
It reminds me that it's not so bad
It's not so bad—

My tea's gone cold, I'm wondering why I
Got out of bed at all
The morning rain clouds up my window
And I can't see at all
Even if I could, it'll all be grey
Put your picture on my wall
It reminds me that it's not so bad
It's not so bad

My tea's gone cold, I'm wondering why I
Got out of bed at all
The morning rain clouds up my window
And I can't see at all
Even if I could it'll all be grey
Put your picture on my wall
It reminds me that it's not so bad
It's not so bad

Not so bad, not so bad
Not so bad, not so bad
Not so bad, not so bad
Not so bad, not so bad
Bad, bad, bad, bad
Bad, bad, bad, bad
Not so bad

My tea's gone cold, I'm wondering why I
Got out of bed at all
The morning rain clouds up my window
And I can't see at all
And even if I could, it'll all be grey
Put your picture on my wall
It reminds me that it's not so bad
It's not so bad
My tea's gone cold, I'm wondering why I
Got out of bed at all
The morning rain clouds up my window
And I can't see at all
And even if I could, it'll all be grey
Put your picture on my wall
It reminds me that it's not so bad
It's not so bad"
Finland,Europe,22,Ikuinen vappu,JVG,RATA/RAITTI,0,3:07,0.808,"Ja matka jatkuu
Joensuusta länteen, Kuopiosta pohjoiseen
Ei enää duunii, painan puita uuniin
Syvemmälle skutsiin meen

Loputonta baanaa, loppua en tuu saamaan
Kaukana poika on himasta, ne sanoo et: ""Koita jo hidastaa""
Saisko jo ekan tuopin alas? En saa kai näit vuosii takas
Suomi rakas saa kuosittaa, vielki ratis vaa suorittaa
Karkuun kaamoksesta, sakot ylinopeudesta
Samal vaihtuu mesta, kärsin vauhtisokeudesta
Reissutarinoita, tyhjii varikoita
Aamuvapinoita, eksyny on stadin poika

Ja matka jatkuu
Joensuusta länteen, Kuopiosta pohjoiseen
Ei enää duunii, painan puita uuniin
Syvemmälle skutsiin meen

Ikuinen vappu takapenkil jatkuu
Haluun tarunhohtoiseen
Ei enää duunii, painan puita uuniin
Syvemälle skutsiin meen

Junaa, laivaa, flygarii, ootan tääl pysäkil
Brunaa aina ysäril, suuntaa mä kysäsin
En nää eteen millää, tie muistuttaa pöllön silmää
Tääl on rämmittävää, onneks meil on flindassa lämmittävää
Paska haisee ja banjot soi, joku vessassa vaikeroi
Moottori rupee lämpee, täält tulee uus PMMP
Reissutarinoita, tyhjii varikoita
Aamuvapinoita, eksyny on stadin poika

Ja matka jatkuu
Joensuusta länteen, Kuopiosta pohjoiseen
Ei enää duunii, painan puita uuniin
Syvemmälle skutsiin meen

Ikuinen vappu takapenkil jatkuu
Haluun tarunhohtoiseen
Ei enää duunii, painan puita uuniin
Syvemälle skutsiin meen

Ja matka jatkuu
Joensuusta länteen, Kuopiosta pohjoiseen
Ei enää duunii, painan puita uuniin
Syvemmälle skutsiin meen

Ikuinen vappu takapenkil jatkuu
Haluun tarunhohtoiseen
Ei enää duunii, painan puita uuniin
Syvemmälle skutsiin meen"
Finland,Europe,23,Break My Heart,Dua Lipa,Future Nostalgia,0,3:41,0.808,
Finland,Europe,24,LINKO,"Lord Est, MEGA-Ertsi",LINKO,0,3:12,0.808,"Hei mamacita laita linko käyntiin
Ensin hitaasti sitten täysii
Keinuta sitä laita booty pyöriin
Hei mamacita heiluta sitä
Toi sun
""Sinko"" linko linko
Ja se heiluu
Linko linko linko
Nyt pyörii
Linko linko linko
Hei hei mamacita heiluta sitä
Hei sä tyttö pistä linko päälle
Hyvin pyörii lanteet ja alas menee
Hei sä tyttö pistä linko päälle
Oot raikas freesi sullon muodot upeet
Sä työnnät pakaraa ja poljet jalkaa
Käännyt ympäri nostat paitaa
Sä näytät aineet ja sun pesupallon
Sun koneen täyteen mä pyykkii sullon
Kerro miltä linko tuntuu
Lyö booty kuumaan peltiin nouse päälle istuun
Kolistan luukkuu sun iho värisee
Ku sä ravistat mä puristan rum-pu-pu-pu
Hei mamacita laita linko käyntiin
Ensin hitaasti sitten täysii
Keinuta sitä laita booty pyöriin
Hei mamacita heiluta sitä
Toi sun ""Sinko"" linko linko
Ja se heiluu
Linko linko linko
Nyt pyörii
Linko linko linko
Hei hei mamacita heiluta sitä
Kolin ko lingon kolinaa
Paljon se kello nyt olikaan?
Vielä yks pesällinen lisää
Naapuri sori taas
Käännän nupin kohille
Ja paat lingon koville
Niinkun kuivausrumpu baramppa pärisee
Ja kun väännän offille
Se menee stopille
Valmiina booty-dropillе
Mamacita älä pykitä pykitä pykitä
Vaan tanhusalii tykitä tykitä tykitä
Tän illan sulle pyhitän pyhitän pyhitän
Eli yy kaa koo
Tätä tyyppaa bro
Hei mamacita laita linko käyntiin
Ensin hitaasti sitten täysii
Kеinuta sitä laita booty pyöriin
Hei mamacita heiluta sitä
Toi sun
""Sinko"" linko linko
Ja se heiluu
Linko linko linko
Nyt pyörii
Linko linko linko
Hei hei mamacita heiluta sitä
Hei mamacita
Kun sä pyykkäät sä kyykkäät
Siitä vironpoika tykkää
Kun sä pyykkäät sä kyykkäät
Sullon mahtava linko
Sä spinnaat ja huuhdot
Sä käytät kuivurii
Hierot koneen runkoo
Pistit ovet lukkoon
Pyörität sun moottorii
Hot hot sis
Keskeltä laiha mutta fat fat sis
Keinuu sun lanteet tic toc sis
Oot top top sis
Mikä on sun lingon hot spot sis
Hei mamacita laita linko käyntiin
Ensin hitaasti sitten täysii
Keinuta sitä laita booty pyöriin
Hei mamacita heiluta sitä
Toi sun
""Sinko"" linko linko
Ja se heiluu
Linko linko linko
Nyt pyörii
Linko linko linko
Hei hei mamacita heiluta sitä
Toi sun
Linko linko linko
Kun sä pyykkäät sä kyykkäät
Siitä vironpoika tykkää
Kun sä pyykkäät sä kyykkäät
Hei mamacita heiluta sitä"
Finland,Europe,25,Blueberry Faygo,Lil Mosey,Certified Hitmaker,1,2:42,0.808,
